"time_aedt","code","volume","price_doll_mwh","date"
"08:30","EEM2024",12,162.65,2024-02-27
"08:30","EDH2024",12,187.05,2024-02-27
"08:30","EDJ2024",12,176.05,2024-02-27
"08:38","EDH2024",12,187.05,2024-02-27
"08:38","EDJ2024",36,176.05,2024-02-27
"08:38","EHJ2024",12,150.15,2024-02-27
"08:38","EHM2024",12,171,2024-02-27
"08:40","EEM2027",12,125,2024-02-27
"08:40","EAH2025",12,145.65,2024-02-27
"08:40","EEH2025",12,110.85,2024-02-27
"10:00","BQH2025",1,120,2024-02-27
"10:01","BQM2025",1,83,2024-02-27
"10:02","GNH2025",2,36.5,2024-02-27
"10:03","BQZ2024",2,0,2024-02-27
"10:03","BQU2024",2,0,2024-02-27
"10:03","HQM2025",2,92,2024-02-27
"10:03","BQM2025",2,0,2024-02-27
"10:03","BQH2025",2,0,2024-02-27
"10:03","BQZ2024",1,0,2024-02-27
"10:03","BQU2024",1,0,2024-02-27
"10:03","HQM2025",1,92,2024-02-27
"10:03","BQM2025",1,0,2024-02-27
"10:03","BQH2025",1,0,2024-02-27
"10:05","BQH2025",1,120.75,2024-02-27
"10:05","BQH2025",4,121,2024-02-27
"10:14","BVZ2026",5,0,2024-02-27
"10:14","BVM2026",5,0,2024-02-27
"10:14","BVH2026",5,0,2024-02-27
"10:14","BVU2026",5,0,2024-02-27
"10:14","HVZ2026",5,57,2024-02-27
"10:20","GNM2024",1,17,2024-02-27
"10:22","BNM2024",1,101.5,2024-02-27
"10:22","GNU2024",2,16.5,2024-02-27
"10:24","BNM2024",2,101.5,2024-02-27
"10:25","BNH2024",2,93,2024-02-27
"10:25","GNH2024",1,23,2024-02-27
"10:29","BQM2026",3,0,2024-02-27
"10:29","BQH2026",3,0,2024-02-27
"10:29","BQZ2025",3,0,2024-02-27
"10:29","BQU2025",3,0,2024-02-27
"10:29","HQM2026",3,86.75,2024-02-27
"10:29","BQM2026",2,0,2024-02-27
"10:29","BQH2026",2,0,2024-02-27
"10:29","BQZ2025",2,0,2024-02-27
"10:29","BQU2025",2,0,2024-02-27
"10:29","HQM2026",2,86.75,2024-02-27
"10:29","BNM2024",2,101.5,2024-02-27
"10:37","BQH2024",1,128.5,2024-02-27
"10:37","BQZ2024",2,80.25,2024-02-27
"10:37","GQZ2024",1,17,2024-02-27
"10:41","BVZ2024",2,44.25,2024-02-27
"10:48","BQU2024",2,84.75,2024-02-27
"10:48","BNH2024",4,94.5,2024-02-27
"10:49","BNM2024",1,102,2024-02-27
"10:49","BNH2025",2,111,2024-02-27
"10:49","GNH2024",2,22.5,2024-02-27
"10:49","BNH2024",2,94.5,2024-02-27
"10:50","BNH2024",2,94.5,2024-02-27
"10:51","BQM2025",2,83.5,2024-02-27
"10:54","HVM2026",5,59.25,2024-02-27
"10:54","BVM2026",5,0,2024-02-27
"10:54","BVH2026",5,0,2024-02-27
"10:54","BVZ2025",5,0,2024-02-27
"10:54","BVU2025",5,0,2024-02-27
"10:54","BVH2026",2,59.75,2024-02-27
"10:54","BVH2026",2,59.5,2024-02-27
"10:58","GQH2024",2,40,2024-02-27
"10:58","BQM2025",2,83.5,2024-02-27
"11:04","BNH2025",1,111,2024-02-27
"11:04","BNZ2024",2,0,2024-02-27
"11:04","BNM2025",2,0,2024-02-27
"11:04","BNH2025",2,0,2024-02-27
"11:04","HNM2025",2,99.25,2024-02-27
"11:04","BNU2024",2,0,2024-02-27
"11:08","BNZ2024",1,0,2024-02-27
"11:08","BNM2025",1,0,2024-02-27
"11:08","BNH2025",1,0,2024-02-27
"11:08","HNM2025",1,99.5,2024-02-27
"11:08","BNU2024",1,0,2024-02-27
"11:09","BNZ2024",3,0,2024-02-27
"11:09","BNM2025",3,0,2024-02-27
"11:09","BNH2025",3,0,2024-02-27
"11:09","HNM2025",3,99.5,2024-02-27
"11:09","BNU2024",3,0,2024-02-27
"11:11","BVZ2026",5,0,2024-02-27
"11:11","BVM2026",5,0,2024-02-27
"11:11","BVH2026",5,0,2024-02-27
"11:11","BVU2026",5,0,2024-02-27
"11:11","HVZ2026",5,57,2024-02-27
"11:19","GQH2024",3,40,2024-02-27
"11:19","GQH2025",2,44,2024-02-27
"11:21","BNZ2024",1,84,2024-02-27
"11:21","BSU2024",2,0,2024-02-27
"11:21","BSZ2024",2,0,2024-02-27
"11:21","HSM2025",2,81.5,2024-02-27
"11:21","BSM2025",2,0,2024-02-27
"11:21","BSH2025",2,0,2024-02-27
"11:21","BSU2024",3,0,2024-02-27
"11:21","BSZ2024",3,0,2024-02-27
"11:21","HSM2025",3,81.5,2024-02-27
"11:21","BSM2025",3,0,2024-02-27
"11:21","BSH2025",3,0,2024-02-27
"11:22","BQZ2024",1,80.45,2024-02-27
"11:25","BVH2026",1,60.5,2024-02-27
"11:26","BVZ2026",2,0,2024-02-27
