"time_aedt","code","volume","price_doll_mwh","date"
"08:32","EEU2025",12,227.4,2024-07-11
"08:44","EAH2025",12,250,2024-07-11
"08:44","EEZ2024",12,209,2024-07-11
"08:44","EAH2025",12,250,2024-07-11
"08:44","EAM2027",15,201.3,2024-07-11
"08:44","EAU2027",15,201.75,2024-07-11
"08:44","EDV2024",24,253.85,2024-07-11
"08:44","EDZ2024",24,187.25,2024-07-11
"10:00","GVU2025",3,10.5,2024-07-11
"10:02","BNM2026",1,0,2024-07-11
"10:02","BNU2025",1,0,2024-07-11
"10:02","HNM2026",1,127.5,2024-07-11
"10:02","BNZ2025",1,0,2024-07-11
"10:02","BNH2026",1,0,2024-07-11
"10:04","BVZ20240009000C",10,5,2024-07-11
"10:04","BVZ2024",3,62.75,2024-07-11
"10:08","BVZ2026",5,0,2024-07-11
"10:08","BVM2026",5,0,2024-07-11
"10:08","BVH2026",5,0,2024-07-11
"10:08","BVU2026",5,0,2024-07-11
"10:08","HVZ2026",5,76,2024-07-11
"10:08","BNM2025",2,135.5,2024-07-11
"10:08","BNU2025",1,0,2024-07-11
"10:08","HNZ2025",1,128.3,2024-07-11
"10:08","BNM2025",1,0,2024-07-11
"10:08","BNH2025",1,0,2024-07-11
"10:08","BNZ2025",1,0,2024-07-11
"10:11","GQZ2024",5,21.85,2024-07-11
"10:36","BVH2025",1,80.75,2024-07-11
"10:39","BVH2025",4,80.5,2024-07-11
"10:39","BVH2025",1,80.5,2024-07-11
"10:39","BVH2025",1,80.5,2024-07-11
"10:39","BVH2025",2,80.5,2024-07-11
"10:39","BVH2025",2,80.5,2024-07-11
"10:40","BVH2025",1,80.5,2024-07-11
"10:48","BNH2025",5,133.4,2024-07-11
"10:48","BNH20250010000P",15,11.1,2024-07-11
"10:48","BNH20250017000C",15,17.9,2024-07-11
"10:48","BNH20250013500C",15,29.3,2024-07-11
"10:48","HVZ2025",5,83.65,2024-07-11
"10:48","BVM2025",5,0,2024-07-11
"10:48","BVH2025",5,0,2024-07-11
"10:48","BVZ2025",5,0,2024-07-11
"10:48","BVU2025",5,0,2024-07-11
"10:50","BVZ2024",1,62.75,2024-07-11
"10:51","GVH2027",2,27,2024-07-11
"10:56","BQM2026",2,0,2024-07-11
"10:56","BQH2026",2,0,2024-07-11
"10:56","BQZ2026",2,0,2024-07-11
"10:56","HQZ2026",2,100,2024-07-11
"10:56","BQU2026",2,0,2024-07-11
"10:57","BQZ2024",2,98.5,2024-07-11
"10:58","BQZ2024",2,98.5,2024-07-11
"11:01","BNM2025",1,135.01,2024-07-11
